county,tract,state,placefp14,stab,cntyname,placefp,placenm,placenm14,pop10,afact
17031,8234.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",4591,0.9087
17031,8235.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",4545,1
17031,8236.03,17,6704,IL,Cook IL, , ,"Blue Island city, IL",1359,0.503
17031,8243.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",1307,0.2715
17031,8248.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",140,0.0181
17031,8268.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",1242,0.2285
17031,8205.01,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",4733,0.774
17031,8205.02,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",5150,1
17031,8206.04,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",109,0.0284
17031,8209.01,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",3,0.0005
17031,8210.01,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",321,0.0613
17031,8229.00,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",1899,0.93
17031,8237.03,17,8225,IL,Cook IL, , ,"Bridgeview village, IL",4231,0.5329
17031,8179.00,17,8446,IL,Cook IL, , ,"Broadview village, IL",5408,0.9602
17031,8180.00,17,8446,IL,Cook IL, , ,"Broadview village, IL",2524,0.5961
17031,8158.00,17,8576,IL,Cook IL, , ,"Brookfield village, IL",1566,1
17031,8187.00,17,8576,IL,Cook IL, , ,"Brookfield village, IL",3625,1
17031,8188.00,17,8576,IL,Cook IL, , ,"Brookfield village, IL",5556,1
17031,8193.00,17,8576,IL,Cook IL, , ,"Brookfield village, IL",2693,1
17031,8194.00,17,8576,IL,Cook IL, , ,"Brookfield village, IL",5538,1
17031,8024.03,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",156,0.1115
17031,8025.03,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",1662,0.2681
17031,8030.05,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",632,0.238
17031,8030.07,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",1790,0.3411
17031,8030.10,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",2835,0.5456
17031,8030.12,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",1120,0.5043
17031,8030.13,17,9447,IL,Cook IL, , ,"Buffalo Grove village, IL",5449,1
17031,8209.01,17,9642,IL,Cook IL, , ,"Burbank city, IL",4572,0.8041
17031,8209.02,17,9642,IL,Cook IL, , ,"Burbank city, IL",5017,1
17031,8210.01,17,9642,IL,Cook IL, , ,"Burbank city, IL",4912,0.9387
17031,8210.02,17,9642,IL,Cook IL, , ,"Burbank city, IL",5593,1
17031,8211.01,17,9642,IL,Cook IL, , ,"Burbank city, IL",4784,1
17031,8211.02,17,9642,IL,Cook IL, , ,"Burbank city, IL",4047,1
17031,8257.00,17,9798,IL,Cook IL, , ,"Burnham village, IL",4206,1
17031,8201.01,17,9980,IL,Cook IL, , ,"Burr Ridge village, IL",1383,0.1994
17031,8202.01,17,9980,IL,Cook IL, , ,"Burr Ridge village, IL",2457,0.3139
17031,8258.01,17,10487,IL,Cook IL, , ,"Calumet City city, IL",3549,0.9997
17031,8258.02,17,10487,IL,Cook IL, , ,"Calumet City city, IL",5850,1
17031,8258.03,17,10487,IL,Cook IL, , ,"Calumet City city, IL",5811,1
17031,8259.00,17,10487,IL,Cook IL, , ,"Calumet City city, IL",3374,1
17031,8260.00,17,10487,IL,Cook IL, , ,"Calumet City city, IL",3334,1
17031,8261.00,17,10487,IL,Cook IL, , ,"Calumet City city, IL",6414,1
17031,8262.01,17,10487,IL,Cook IL, , ,"Calumet City city, IL",2837,0.7889
17031,8262.02,17,10487,IL,Cook IL, , ,"Calumet City city, IL",5873,1
17031,8212.00,17,10513,IL,Cook IL, , ,"Calumet Park village, IL",1000,0.1666
17031,8214.01,17,10513,IL,Cook IL, , ,"Calumet Park village, IL",3338,1
17031,8214.02,17,10513,IL,Cook IL, , ,"Calumet Park village, IL",3497,0.9749
17031,101.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4854,1
17031,102.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",6450,1
17031,102.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",2818,1
17031,103.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6236,1
17031,104.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",5042,1
17031,105.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",4091,1
17031,105.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",3101,1
17031,105.03,17,14000,IL,Cook IL, , ,"Chicago city, IL",2290,1
17031,106.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6097,1
17031,107.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",3864,1
17031,107.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",5143,1
17031,201.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3965,1
17031,202.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6676,1
17031,203.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",4750,1
17031,203.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",4650,1
17031,204.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4168,1
17031,205.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6214,1
17031,206.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",6353,1
17031,206.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",4340,1
17031,207.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",1704,1
17031,207.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",7194,1
17031,208.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",5458,1
17031,208.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",6963,1
17031,209.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",5221,1
17031,209.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",4286,1
17031,301.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",3893,1
17031,301.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",3204,1
17031,301.03,17,14000,IL,Cook IL, , ,"Chicago city, IL",1928,1
17031,301.04,17,14000,IL,Cook IL, , ,"Chicago city, IL",3681,1
17031,302.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",5369,1
17031,303.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3322,1
17031,304.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2684,1
17031,305.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6395,1
17031,306.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",4012,1
17031,306.03,17,14000,IL,Cook IL, , ,"Chicago city, IL",2095,1
17031,306.04,17,14000,IL,Cook IL, , ,"Chicago city, IL",2976,1
17031,307.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",1549,1
17031,307.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",1630,1
17031,307.03,17,14000,IL,Cook IL, , ,"Chicago city, IL",2830,1
17031,307.06,17,14000,IL,Cook IL, , ,"Chicago city, IL",3599,1
17031,308.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4326,1
17031,309.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3028,1
17031,310.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3656,1
17031,311.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4402,1
17031,312.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",5648,1
17031,313.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",7076,1
17031,314.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",5150,1
17031,315.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",4083,1
17031,315.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",4354,1
17031,317.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6570,1
17031,318.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1820,1
17031,319.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2304,1
17031,321.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",7052,1
17031,401.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3985,1
17031,402.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",6218,1
17031,402.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",7249,1
17031,403.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3069,1
17031,404.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",3092,1
17031,404.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",4468,1
17031,406.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2434,1
17031,407.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3123,1
17031,408.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1514,1
17031,409.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1950,1
17031,501.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2290,1
17031,502.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4837,1
17031,503.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2365,1
17031,505.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4754,1
17031,506.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2071,1
17031,507.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1418,1
17031,508.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1289,1
17031,509.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1391,1
17031,510.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1503,1
