GEOID,NAME,tract,county,total_workers,essential,nonessential,conman,food,health,protection,socialservices,transport,total_pop,nonwhite_pct,pov_pct,hh_inc_med
17031291600,"Census Tract 2916, Cook County, Illinois",2916,Cook,488,0.5901639344,0.4098360656,0.268442623,0.02049180328,0.04303278689,0.02868852459,0,0.2295081967,976,0.864,0.197,47647
17031292200,"Census Tract 2922, Cook County, Illinois",2922,Cook,811,0.477188656,0.522811344,0.09124537608,0.07768187423,0.1060419236,0,0.05672009864,0.1454993835,2705,0.957,0.482,32237
17031292400,"Census Tract 2924, Cook County, Illinois",2924,Cook,761,0.6084099869,0.3915900131,0.1695137976,0.06570302234,0.1629434954,0.02759526938,0.06044678055,0.1222076216,2203,0.959,0.384,31083
17031292500,"Census Tract 2925, Cook County, Illinois",2925,Cook,1550,0.5283870968,0.4716129032,0.1329032258,0.03096774194,0.1238709677,0.01870967742,0.0264516129,0.195483871,3897,0.973,0.277,40131
17031300500,"Census Tract 3005, Cook County, Illinois",3005,Cook,1319,0.6785443518,0.3214556482,0.3912054587,0.08870356331,0.02805155421,0.01440485216,0,0.1561789234,2889,0.984,0.207,38113
17031300600,"Census Tract 3006, Cook County, Illinois",3006,Cook,1318,0.6145675266,0.3854324734,0.2382397572,0.1259484067,0.09559939302,0.02959028832,0.04779969651,0.07738998483,3186,0.917,0.247,44492
17031300700,"Census Tract 3007, Cook County, Illinois",3007,Cook,1837,0.7512248231,0.2487751769,0.4066412629,0.07457811649,0.04627109418,0.01796407186,0.02395209581,0.1818181818,4721,0.986,0.327,36224
17031300800,"Census Tract 3008, Cook County, Illinois",3008,Cook,1415,0.732155477,0.267844523,0.3858657244,0.109540636,0.03462897527,0,0,0.2021201413,4070,0.99,0.42,29949
17031300900,"Census Tract 3009, Cook County, Illinois",3009,Cook,1833,0.7866884888,0.2133115112,0.5073649755,0.114020731,0.08292416803,0.008728859793,0.01200218221,0.06164757229,4402,0.945,0.372,26833
17031301100,"Census Tract 3011, Cook County, Illinois",3011,Cook,928,0.7413793103,0.2586206897,0.411637931,0.05926724138,0.04525862069,0.01939655172,0.02047413793,0.1853448276,2423,0.958,0.317,28723
17031301200,"Census Tract 3012, Cook County, Illinois",3012,Cook,1357,0.5806927045,0.4193072955,0.27266028,0.07442888725,0.0486366986,0,0.008843036109,0.1761238025,4087,0.969,0.345,27328
17031301600,"Census Tract 3016, Cook County, Illinois",3016,Cook,1768,0.6996606335,0.3003393665,0.3964932127,0.1165158371,0.0378959276,0.009049773756,0,0.1397058824,4881,0.975,0.328,35411
17031301701,"Census Tract 3017.01, Cook County, Illinois",3017.01,Cook,1551,0.7440361057,0.2559638943,0.3442940039,0.114764668,0.03159252095,0.01740812379,0.01869761444,0.2172791747,3943,0.969,0.352,29773
17031301702,"Census Tract 3017.02, Cook County, Illinois",3017.02,Cook,1802,0.7541620422,0.2458379578,0.4162042175,0.1187569367,0.05549389567,0.00499445061,0.01220865705,0.1465038846,4387,0.974,0.202,39614
17031301801,"Census Tract 3018.01, Cook County, Illinois",3018.01,Cook,1349,0.6990363232,0.3009636768,0.4447739066,0.04299481097,0.04447739066,0.02149740549,0.01408450704,0.1312083024,3625,0.94,0.231,34427
17031301802,"Census Tract 3018.02, Cook County, Illinois",3018.02,Cook,1329,0.683972912,0.316027088,0.3927765237,0.09857035365,0.0158013544,0.003762227239,0.005267118134,0.1677953348,3509,0.985,0.243,35925
17031301803,"Census Tract 3018.03, Cook County, Illinois",3018.03,Cook,2239,0.7230906655,0.2769093345,0.4850379634,0.1179097812,0.01429209469,0,0.009379187137,0.09647163912,5011,0.97,0.283,32308
17031310200,"Census Tract 3102, Cook County, Illinois",3102,Cook,1045,0.3377990431,0.6622009569,0.1339712919,0.05741626794,0.07655502392,0.004784688995,0.02679425837,0.03827751196,1652,0.643,0.139,70428
